home,away,close_time,pre_close_mid
LAC,ORL,2025-11-21 02:44:39.920553+00:00,0.325
SAC,MEM,2025-11-21 03:29:43.159465+00:00,0.575
ATL,SAS,2025-11-21 03:39:37.299389+00:00,0.505
PHI,MIL,2025-11-21 03:54:33.142864+00:00,0.475
IND,CLE,2025-11-22 03:00:07.936344+00:00,0.875
BKN,BOS,2025-11-22 03:14:50.822407+00:00,0.115
WAS,TOR,2025-11-22 03:29:51.870847+00:00,0.885
MIA,CHI,2025-11-22 03:49:50.452770+00:00,0.555
NOP,DAL,2025-11-22 04:24:37.434753+00:00,0.605
MIN,PHX,2025-11-22 05:04:38.541794+00:00,0.63
DEN,HOU,2025-11-22 05:29:49.528374+00:00,0.435
POR,GSW,2025-11-22 06:09:34.725960+00:00,0.805
LAC,CHA,2025-11-22 20:54:45.095867+00:00,0.475
NYK,ORL,2025-11-23 01:19:50.804337+00:00,0.465
ATL,NOP,2025-11-23 02:34:36.158486+00:00,0.805
WAS,CHI,2025-11-23 03:39:41.785738+00:00,0.855
DET,MIL,2025-11-23 03:49:41.674339+00:00,0.765
MEM,DAL,2025-11-23 04:04:33.142009+00:00,0.5
SAC,DEN,2025-11-23 05:54:31.810031+00:00,0.835
MIA,PHI,2025-11-23 20:39:54.142662+00:00,0.525
LAC,CLE,2025-11-24 01:34:44.466011+00:00,0.745
CHA,ATL,2025-11-24 01:39:45.865660+00:00,0.73
ORL,BOS,2025-11-24 01:44:48.434292+00:00,0.625
BKN,TOR,2025-11-24 01:49:41.176530+00:00,0.155
POR,OKC,2025-11-24 02:59:47.727653+00:00,0.895
SAS,PHX,2025-11-24 03:49:38.320032+00:00,0.56
LAL,UTA,2025-11-24 03:54:29.982831+00:00,0.795
CLE,TOR,2025-11-25 02:49:59.832209+00:00,0.485
DET,IND,2025-11-25 03:04:53.853863+00:00,0.795
NYK,BKN,2025-11-25 03:14:43.688559+00:00,0.145
DAL,MIA,2025-11-25 03:34:41.591517+00:00,0.275
DEN,MEM,2025-11-25 03:34:41.681421+00:00,0.765
CHI,NOP,2025-11-25 03:44:39.108784+00:00,0.655
POR,MIL,2025-11-25 03:59:51.073669+00:00,0.505
HOU,PHX,2025-11-25 05:34:28.875424+00:00,0.685
UTA,GSW,2025-11-25 05:54:29.519130+00:00,0.855
MIN,SAC,2025-11-25 06:09:36.497576+00:00,0.815
ATL,WAS,2025-11-26 02:34:29.449355+00:00,0.825
ORL,PHI,2025-11-26 03:54:28.682625+00:00,0.625
LAC,LAL,2025-11-26 06:54:27.440556+00:00,0.295
DET,BOS,2025-11-27 01:04:59.393006+00:00,0.46
NYK,CHA,2025-11-27 02:40:02.718342+00:00,0.295
MIL,MIA,2025-11-27 03:00:03.099416+00:00,0.795
IND,TOR,2025-11-27 03:14:43.276959+00:00,0.195
MIN,OKC,2025-11-27 03:39:46.581486+00:00,0.215
MEM,NOP,2025-11-27 03:54:30.311328+00:00,0.605
SAS,POR,2025-11-27 05:39:42.551527+00:00,0.495
PHX,SAC,2025-11-27 05:49:40.634827+00:00,0.625
HOU,GSW,2025-11-27 06:04:27.510656+00:00,0.595
WAS,IND,2025-11-29 03:14:52.804095+00:00,0.695
CHI,CHA,2025-11-29 03:14:55.300817+00:00,0.415
PHI,BKN,2025-11-29 03:19:47.903452+00:00,0.295
CLE,ATL,2025-11-29 03:19:53.308111+00:00,0.305
ORL,DET,2025-11-29 03:24:43.204351+00:00,0.595
MIL,NYK,2025-11-29 03:29:43.176021+00:00,0.295
PHX,OKC,2025-11-29 05:09:46.975043+00:00,0.885
SAC,UTA,2025-11-29 05:19:41.457759+00:00,0.445
SAS,DEN,2025-11-29 05:19:41.753639+00:00,0.735
DAL,LAL,2025-11-29 05:49:33.635204+00:00,0.21
MEM,LAC,2025-11-29 05:49:34.255363+00:00,0.695
BOS,MIN,2025-11-30 00:34:46.574474+00:00,0.325
TOR,CHA,2025-11-30 02:00:13.855656+00:00,0.275
CHI,IND,2025-11-30 03:04:35.228344+00:00,0.585
BKN,MIL,2025-11-30 03:29:41.434905+00:00,0.175
DET,MIA,2025-11-30 03:59:41.378435+00:00,0.395
NOP,GSW,2025-11-30 04:29:37.962085+00:00,0.785
DEN,PHX,2025-11-30 04:29:38.170741+00:00,0.625
DAL,LAC,2025-11-30 05:54:29.363549+00:00,0.245
HOU,UTA,2025-11-30 22:49:50.356913+00:00,0.835
BOS,CLE,2025-12-01 01:34:40.698525+00:00,0.295
